SPF,valid,size,inputs,outputs
S(),True,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
"P(1, 1)",True,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
Z(),True,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"R(Z(), P(2, 1))",True,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 0, 1, 2, 3, 4, 5, 6, 7, 8]"
"C(S(), S())",True,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
"C(S(), Z())",True,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"R(C(S(), Z()), P(2, 1))",True,5,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 0, 1, 2, 3, 4, 5, 6, 7, 8]"
"C(S(), C(S(), S()))",True,5,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]"
"C(S(), C(S(), Z()))",True,5,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
"C(S(), R(Z(), P(2, 1)))",True,5,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"C(S(), C(S(), C(S(), S())))",True,7,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[4, 5, 6, 7, 8, 9, 10, 11, 12, 13]"
"C(S(), C(S(), R(Z(), P(2, 1))))",True,7,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
"C(S(), R(C(S(), Z()), P(2, 1)))",True,7,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"R(Z(), C(S(), C(S(), P(2, 2))))",True,7,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 2, 4, 6, 8, 10, 12, 14, 16, 18]"
"C(R(Z(), P(2, 1)), R(Z(), P(2, 1)))",True,7,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 0, 0, 1, 2, 3, 4, 5, 6, 7]"
"C(S(), C(S(), C(S(), Z())))",True,7,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
"R(C(S(), C(S(), Z())), P(2, 1))",True,7,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 0, 1, 2, 3, 4, 5, 6, 7, 8]"
"R(Z(), C(S(), C(S(), P(2, 1))))",True,7,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
"C(S(), C(S(), R(C(S(), Z()), P(2, 1))))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
"R(C(S(), Z()), C(R(Z(), P(2, 1)), P(2, 1)))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 0, 0, 1, 2, 3, 4, 5, 6, 7]"
"C(S(), C(S(), C(S(), C(S(), Z()))))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
"R(Z(), C(R(C(S(), Z()), P(2, 1)), P(2, 2)))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 1]"
"C(R(C(S(), Z()), P(2, 1)), R(Z(), P(2, 1)))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 1, 0, 1, 2, 3, 4, 5, 6, 7]"
"C(S(), C(S(), C(S(), C(S(), S()))))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
"R(Z(), C(S(), C(R(Z(), P(2, 1)), P(2, 1))))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 1, 2, 3, 4, 5, 6, 7, 8]"
"R(Z(), C(R(C(S(), Z()), P(2, 1)), P(2, 1)))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 0, 1, 2, 3, 4, 5, 6, 7]"
"R(C(S(), Z()), C(R(Z(), P(2, 1)), P(2, 2)))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"C(S(), R(Z(), C(S(), C(S(), P(2, 2)))))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 3, 5, 7, 9, 11, 13, 15, 17, 19]"
