SPF,valid,depth,inputs,outputs
S(),True,1,"[0, 1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5, 6, 7]"
Z(),True,1,"[0, 1, 2, 3, 4, 5, 6]","[0, 0, 0, 0, 0, 0, 0]"
"P(1, 1)",True,1,"[0, 1, 2, 3, 4, 5, 6]","[0, 1, 2, 3, 4, 5, 6]"
"C(S(), Z())",True,2,"[0, 1, 2, 3, 4, 5, 6]","[1, 1, 1, 1, 1, 1, 1]"
"R(Z(), P(2, 1))",True,2,"[0, 1, 2, 3, 4, 5, 6]","[0, 0, 1, 2, 3, 4, 5]"
"C(S(), S())",True,2,"[0, 1, 2, 3, 4, 5, 6]","[2, 3, 4, 5, 6, 7, 8]"
"C(R(Z(), P(2, 1)), R(Z(), P(2, 1)))",True,3,"[0, 1, 2, 3, 4, 5, 6]","[0, 0, 0, 1, 2, 3, 4]"
"C(C(S(), S()), R(Z(), P(2, 1)))",True,3,"[0, 1, 2, 3, 4, 5, 6]","[2, 2, 3, 4, 5, 6, 7]"
"C(C(S(), S()), C(S(), Z()))",True,3,"[0, 1, 2, 3, 4, 5, 6]","[3, 3, 3, 3, 3, 3, 3]"
"C(C(S(), S()), S())",True,3,"[0, 1, 2, 3, 4, 5, 6]","[3, 4, 5, 6, 7, 8, 9]"
"C(S(), R(Z(), P(2, 1)))",True,3,"[0, 1, 2, 3, 4, 5, 6]","[1, 1, 2, 3, 4, 5, 6]"
"R(C(S(), Z()), P(2, 1))",True,3,"[0, 1, 2, 3, 4, 5, 6]","[1, 0, 1, 2, 3, 4, 5]"
"C(C(S(), S()), C(S(), S()))",True,3,"[0, 1, 2, 3, 4, 5, 6]","[4, 5, 6, 7, 8, 9, 10]"
"C(C(S(), S()), Z())",True,3,"[0, 1, 2, 3, 4, 5, 6]","[2, 2, 2, 2, 2, 2, 2]"
"R(C(C(S(), S()), C(S(), Z())), C(C(S(), S()), C(S(), P(2, 2))))",True,4,"[0, 1, 2, 3, 4, 5, 6]","[3, 6, 9, 12, 15, 18, 21]"
"R(C(C(S(), S()), Z()), C(C(S(), S()), C(S(), P(2, 2))))",True,4,"[0, 1, 2, 3, 4, 5, 6]","[2, 5, 8, 11, 14, 17, 20]"
"C(R(C(S(), Z()), P(2, 1)), R(Z(), P(2, 1)))",True,4,"[0, 1, 2, 3, 4, 5, 6]","[1, 1, 0, 1, 2, 3, 4]"
"C(C(C(S(), S()), C(S(), S())), C(C(S(), S()), C(S(), Z())))",True,4,"[0, 1, 2, 3, 4, 5, 6]","[7, 7, 7, 7, 7, 7, 7]"
"R(C(C(S(), S()), C(S(), Z())), C(R(Z(), P(2, 1)), P(2, 2)))",True,4,"[0, 1, 2, 3, 4, 5, 6]","[3, 2, 1, 0, 0, 0, 0]"
"R(C(C(S(), S()), Z()), C(R(Z(), P(2, 1)), P(2, 2)))",True,4,"[0, 1, 2, 3, 4, 5, 6]","[2, 1, 0, 0, 0, 0, 0]"
"C(C(C(S(), S()), R(Z(), P(2, 1))), C(C(S(), S()), C(S(), S())))",True,4,"[0, 1, 2, 3, 4, 5, 6]","[5, 6, 7, 8, 9, 10, 11]"
"R(C(C(S(), S()), Z()), P(2, 1))",True,4,"[0, 1, 2, 3, 4, 5, 6]","[2, 0, 1, 2, 3, 4, 5]"
"C(C(C(S(), S()), S()), C(C(S(), S()), S()))",True,4,"[0, 1, 2, 3, 4, 5, 6]","[6, 7, 8, 9, 10, 11, 12]"
"C(S(), R(C(S(), Z()), P(2, 1)))",True,4,"[0, 1, 2, 3, 4, 5, 6]","[2, 1, 2, 3, 4, 5, 6]"
"C(C(C(S(), S()), S()), R(C(S(), Z()), P(2, 1)))",True,4,"[0, 1, 2, 3, 4, 5, 6]","[4, 3, 4, 5, 6, 7, 8]"
"R(C(C(S(), S()), C(S(), Z())), C(S(), P(2, 1)))",True,4,"[0, 1, 2, 3, 4, 5, 6]","[3, 1, 2, 3, 4, 5, 6]"
"R(C(C(S(), S()), C(S(), Z())), P(2, 1))",True,4,"[0, 1, 2, 3, 4, 5, 6]","[3, 0, 1, 2, 3, 4, 5]"
"C(C(C(S(), S()), S()), C(C(S(), S()), R(Z(), P(2, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6]","[5, 5, 6, 7, 8, 9, 10]"
"C(C(C(S(), S()), C(S(), S())), R(C(S(), Z()), P(2, 1)))",True,4,"[0, 1, 2, 3, 4, 5, 6]","[5, 4, 5, 6, 7, 8, 9]"
"C(R(C(S(), Z()), P(2, 1)), R(C(S(), Z()), P(2, 1)))",True,4,"[0, 1, 2, 3, 4, 5, 6]","[0, 1, 0, 1, 2, 3, 4]"
"C(C(C(S(), S()), S()), C(R(Z(), P(2, 1)), R(Z(), P(2, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6]","[3, 3, 3, 4, 5, 6, 7]"
"C(C(S(), S()), R(C(S(), Z()), P(2, 1)))",True,4,"[0, 1, 2, 3, 4, 5, 6]","[3, 2, 3, 4, 5, 6, 7]"
"C(C(R(Z(), P(2, 1)), R(Z(), P(2, 1))), R(Z(), P(2, 1)))",True,4,"[0, 1, 2, 3, 4, 5, 6]","[0, 0, 0, 0, 1, 2, 3]"
