,expr,arity,inputs,outputs,len_expr
570,Z(),0,[0],[0],3
592,"C(S(), Z())",0,[0],[1],11
624,"C(S(), C(S(), Z()))",0,[0],[2],19
1409,"C(C(S(), S()), C(S(), Z()))",0,[0],[3],27
1345,"C(S(), C(C(S(), S()), C(S(), Z())))",0,[0],[4],35
1360,"C(C(S(), S()), C(C(S(), S()), C(S(), Z())))",0,[0],[5],43
13,"C(C(S(), C(S(), S())), C(C(S(), S()), C(S(), Z())))",0,[0],[6],51
29,"C(C(C(S(), S()), C(S(), S())), C(C(S(), S()), C(S(), Z())))",0,[0],[7],59
113,"C(R(S(), R(S(), P(3, 2), S()), C(S(), Z())), C(C(S(), S()), C(S(), Z())))",0,[0],[8],73
194,"C(R(C(S(), S()), R(S(), P(3, 2), S()), C(S(), Z())), C(C(S(), S()), C(S(), Z())))",0,[0],[9],81
572,S(),1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",3
576,"P(1, 1)",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",7
598,"C(S(), S())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",11
605,"C(S(), C(S(), S()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",19
676,"R(S(), P(2, 1), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 1, 2, 3, 4, 5, 6, 7, 8, 9]",20
683,"R(P(1, 1), P(2, 1), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 0, 1, 2, 3, 4, 5, 6, 7, 8]",24
1431,"C(C(S(), S()), C(S(), S()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",27
677,"R(S(), P(2, 1), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 1, 2, 3, 4, 5, 6, 7, 8, 9]",28
1421,"C(S(), R(S(), P(2, 1), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 2, 3, 4, 5, 6, 7, 8, 9, 10]",28
686,"R(P(1, 1), P(2, 1), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 0, 1, 2, 3, 4, 5, 6, 7, 8]",32
1109,"R(S(), R(S(), P(3, 2), S()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 3, 5, 7, 9, 11, 13, 15, 17, 19]",33
1172,"C(S(), C(C(S(), S()), C(S(), S())))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",35
424,"R(S(), C(S(), C(S(), P(2, 1))), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 3, 4, 5, 6, 7, 8, 9, 10, 11]",36
1371,"R(C(S(), S()), P(2, 1), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[3, 2, 3, 4, 5, 6, 7, 8, 9, 10]",36
1435,"C(C(S(), S()), R(S(), P(2, 1), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[3, 3, 4, 5, 6, 7, 8, 9, 10, 11]",36
1114,"R(S(), R(P(1, 1), P(3, 1), S()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 2, 1, 2, 3, 4, 5, 6, 7, 8]",37
1130,"R(P(1, 1), R(S(), P(3, 2), S()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 2, 4, 6, 8, 10, 12, 14, 16, 18]",37
168,"R(P(1, 1), C(S(), C(S(), P(2, 1))), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 2, 3, 4, 5, 6, 7, 8, 9, 10]",40
34,"R(S(), R(S(), C(S(), P(3, 2)), S()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 3, 6, 10, 15, 21, 28, 36, 45, 55]",41
434,"R(S(), C(S(), R(S(), P(3, 2), S())), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 4, 7, 10, 13, 16, 19, 22, 25, 28]",41
1110,"R(S(), R(S(), P(3, 2), S()), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 4, 6, 8, 10, 12, 14, 16, 18, 20]",41
1137,"R(P(1, 1), R(P(1, 1), P(3, 1), S()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 1, 0, 1, 2, 3, 4, 5, 6, 7]",41
1291,"C(C(S(), S()), C(C(S(), S()), C(S(), S())))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",43
393,"R(S(), P(2, 1), C(C(S(), S()), C(S(), Z())))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[4, 1, 2, 3, 4, 5, 6, 7, 8, 9]",44
452,"R(S(), C(C(S(), S()), C(S(), P(2, 1))), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 4, 5, 6, 7, 8, 9, 10, 11, 12]",44
